Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/interference/,50,0,55,57.93508999995538,48.480500001460314,111.90440000063973,49818.18,1.843196027408562,0.0,55,57,60,62,69,80,110,110,110,110,110
DELETE,DELETE /api/interference/ (删除干扰记录),24,0,11,11.363350000162123,9.378200003993697,22.306099999696016,27.0,0.8847340931561097,0.0,11,11,12,12,13,14,22,22,22,22,22
GET,GET /api/interference/ (干扰记录列表),93,0,54,55.7049193544068,48.468200002389494,100.93919999781065,49817.87096774193,3.4283446109799254,0.0,54,55,55,56,59,72,100,100,100,100,100
GET,GET /api/interference/statistics/ (统计数据),37,0,21,23.471770270663075,18.34950000193203,36.23839999636402,12295.486486486487,1.3639650602823359,0.0,21,23,25,26,32,36,36,36,36,36,36
POST,POST /api/interference/ (创建干扰记录),66,0,52,37.136106060202245,9.93410000228323,63.68569999904139,27.0,2.433018756179302,0.0,53,54,55,56,58,59,61,64,64,64,64
POST,POST /api/interference/ (更新干扰记录),26,0,12,12.096626923336702,9.954499997547828,22.25449999968987,27.0,0.9584619342524523,0.0,12,12,13,13,14,15,22,22,22,22,22
POST,[准备] 登录,20,0,64,90.82550500061188,50.91230000107316,186.72350000269944,2126.0,0.7372784109634248,0.0,66,78,170,170,180,190,190,190,190,190,190
,Aggregated,316,0,52,43.67244715179863,9.378200003993697,186.72350000269944,24128.3417721519,11.648998893222112,0.0,52,54,55,56,61,72,100,170,190,190,190
