Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /api/interference/ (删除干扰记录),1083,0,24,28.886354477120054,17.783974995836616,117.1861360053299,27.1735918744229,5.694746479419013,0.0,24,28,33,37,45,53,63,72,120,120,120
GET,GET /api/interference/ (干扰记录列表),3361,0,36,40.12706261734077,20.63719699799549,471.3968500000192,102016.20708122583,17.673169822093538,0.0,36,39,42,45,53,63,82,99,170,470,470
GET,GET /api/interference/statistics/ (统计数据),1065,0,21,26.95381687790103,15.514611994149163,397.3311500012642,1924.8394366197183,5.60009695344529,0.0,21,25,28,31,40,50,72,100,160,400,400
POST,POST /api/interference/ (创建干扰记录),2174,0,18,23.636298345861547,13.8190739962738,500.0165600067703,27.0,11.431559414826348,0.0,18,21,24,27,36,45,63,85,380,500,500
POST,POST /api/interference/ (更新干扰记录),1090,0,22,26.60797859083887,16.101396002341062,111.21984999044798,27.258715596330276,5.731554628408794,0.0,22,26,30,34,41,47,61,69,110,110,110
POST,[准备] 登录(共享),5,0,240,271.05925979849417,193.65067800390534,348.73254800913855,3669.0,0.026291534992700892,0.0,240,350,350,350,350,350,350,350,350,350,350
GET,[辅助] 获取记录ID,2174,0,36,40.33943368946233,19.734139001229778,473.0884840100771,102596.35004599816,11.431559414826348,0.0,36,39,43,45,54,65,78,93,160,470,470
,Aggregated,10952,0,32,33.26315090744785,13.8190739962738,500.0165600067703,51872.450237399564,57.58897824801203,0.0,32,35,38,40,49,58,75,93,350,470,500
