Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[准备] 上传 image 文件,20,0,29,30.25120495021838,20.432679000805365,49.0023479978845,25.0,6.3630968346418655,0.0,30,32,35,37,45,49,49,49,49,49,49
POST,[准备] 上传 pdf 文件,20,0,23,27.219265200255904,20.16071700199973,37.40301899961196,25.0,6.3630968346418655,0.0,28,31,33,35,37,37,37,37,37,37,37
POST,[准备] 上传 text 文件,20,0,23,24.651653200635337,19.119866003165953,33.823280999058625,25.0,6.3630968346418655,0.0,24,26,28,29,32,34,34,34,34,34,34
GET,[准备] 查询文件列表,20,0,30,33.23552305027988,24.674901000253158,56.341208997764625,21416.0,6.3630968346418655,0.0,32,33,37,37,50,56,56,56,56,56,56
POST,[准备] 登录(共享),5,0,160,210.21114339964697,153.65412699975423,291.7964230000507,3797.0,1.5907742086604664,0.0,160,290,290,290,290,290,290,290,290,290,290
,Aggregated,85,0,28,39.50833700030618,19.119866003165953,291.7964230000507,5280.058823529412,27.04316154722793,0.0,28,32,33,36,45,150,290,290,290,290,290
